N,P,K,temperature,humidity,ph,rainfall,label
89.0,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
47.0,57,49,21.237542215140515,98.4565883070764,6.81294584400441,71.8151852707102,jute
78.0,46,36,16.578055879152537,51.45058708067008,8.415619855028599,84.16110954929601,maize
40.0,71,20,26.122505553105864,91.46132588616808,5.17529412216204,63.47744275646586,coconut
10.0,60,21,28.68007875114681,77.49590783571927,8.70401863734508,67.61598692005302,blackgram
0.0,5,31,23.176913364119084,99.11176032557997,5.308933435411269,142.5807901933072,coconut
55.0,72,19,15.40749735336623,43.68681067917717,7.107834204033994,85.43230509888068,blackgram
110.0,7,12,43.67549305,99.98187601,7.242114771623236,135.04881378599805,maize
111.0,13,32,28.95793992258949,45.87859047078642,7.41418295910923,296.2061548430745,coffee
77.0,10,35,43.67549305,94.21307392932862,8.697598383342404,119.23402700369064,orange
101.0,28,40,27.441300586978446,55.55915000257059,8.173528330416904,173.52927264676427,jute
41.0,73,48,24.07728851353434,94.29630291213834,6.983258521924454,298.5601175,papaya
0.0,47,25,27.91151805204933,78.53439975546166,5.7212962871781325,45.72576705052837,mungbean
0.0,5,53,9.048577440767325,99.98187601,6.545851827727949,90.17794873253304,pomegranate
18.0,19,29,27.59376845,92.48519606,6.206077742000001,162.8432736,coconut
28.0,37,28,32.13409675,50.52559148,6.097869767000001,98.63333684,mango
55.0,71,37,28.15015697485662,59.20066333497866,8.27341127966023,90.17794873253304,blackgram
17.0,72,41,29.39528387206552,71.10972868064255,7.224908801481975,47.8472111983135,blackgram
40.0,49,37,26.21877624264217,78.76435843148613,4.604573898568303,90.17794873253304,maize
140.0,5,55,20.278911176846023,99.98187601,6.914863352774399,39.20207174696752,watermelon
40.0,83,8,25.32085416969652,53.35072475087947,6.695123639459963,81.17941183362676,blackgram
49.0,91,36,43.67549305,59.025042535894336,3.504752314,38.61423944486101,pigeonpeas
24.0,90,9,8.825674745,39.990952454561935,3.504752314,60.65191417282239,pigeonpeas
140.0,67,17,24.93168196996425,81.22411049307604,9.93509073,106.14544844088412,cotton
