N,P,K,temperature,humidity,ph,rainfall,label
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
47,57,49,21.237542215140515,98.4565883070764,6.81294584400441,71.8151852707102,jute
78,46,36,16.578055879152537,51.45058708067008,8.415619855028599,84.16110954929601,maize
40,71,20,26.122505553105864,91.46132588616807,5.17529412216204,63.47744275646586,coconut
10,60,21,28.68007875114681,77.49590783571927,8.70401863734508,67.61598692005302,blackgram
0,5,31,23.176913364119084,99.11176032557995,5.308933435411269,142.5807901933072,coconut
55,72,19,15.40749735336623,43.68681067917717,7.107834204033994,85.43230509888068,blackgram
110,7,12,43.67549305,99.98187601,7.242114771623236,135.04881378599805,maize
111,13,32,28.957939922589492,45.87859047078642,7.41418295910923,296.2061548430745,coffee
77,10,35,43.67549305,94.21307392932862,8.697598383342404,119.23402700369064,orange
101,28,40,27.441300586978446,55.55915000257059,8.173528330416904,173.52927264676427,jute
41,73,48,24.07728851353434,94.29630291213834,6.983258521924454,298.5601175,papaya
0,47,25,27.911518052049338,78.53439975546166,5.7212962871781325,45.72576705052837,mungbean
0,5,53,9.048577440767323,99.98187601,6.545851827727949,133.80989337033893,pomegranate
18,19,29,27.59376845,92.48519606,6.206077742000001,162.8432736,coconut
28,37,28,32.13409675,50.52559148,6.097869767000001,98.63333684,mango
55,71,37,28.15015697485662,59.200663334978664,8.27341127966023,67.48323690738142,blackgram
17,72,41,29.39528387206552,71.10972868064255,7.224908801481975,47.8472111983135,blackgram
40,49,37,26.218776242642175,78.76435843148613,4.604573898568303,77.74545002508651,maize
140,5,55,20.278911176846023,99.98187601,6.914863352774399,39.20207174696752,watermelon
40,83,8,25.320854169696513,53.35072475087947,6.695123639459963,81.17941183362676,blackgram
49,91,36,43.67549305,59.025042535894336,3.504752314,38.61423944486101,pigeonpeas
24,90,9,8.825674745,39.990952454561935,3.504752314,60.65191417282239,pigeonpeas
140,67,17,24.93168196996425,81.22411049307604,9.93509073,106.14544844088412,cotton
105,66,32,34.54927721618179,56.47207385203579,9.920392643710631,79.81482793641135,coffee
108,23,50,33.41469220313574,82.95830691222399,6.901133818260788,59.832500821697614,watermelon
95,94,23,31.20349487285161,14.525517588688611,6.020032627450286,153.4339447700749,kidneybeans
75,5,40,23.85695394481982,86.84227158335226,6.886449576574288,141.8261917685936,cotton
140,39,18,22.589413195727037,86.85191496373625,5.702074215270527,113.77836404781478,maize
73,20,48,26.495018089280702,69.07095045809373,8.39544254278045,46.84770822255333,watermelon
79,32,64,29.598965180560896,95.08632191050596,5.818897140084761,20.21126747,muskmelon
81,68,42,34.00956352902874,90.8968545484835,9.8943039213259,111.1541826638829,pomegranate
122,5,32,24.199046566709352,92.21936128911243,6.506639793247775,57.27956030954459,watermelon
0,59,42,43.67549305,90.18679808782585,6.564059108439306,178.76161809454032,papaya
29,145,198,24.774995588866236,91.57126903579262,6.8037824454089835,90.90333193586936,apple
106,73,37,31.17710754134885,86.98975285436596,6.396294338582592,32.72281001592914,banana
0,69,17,22.928547899850713,14.25803981,5.358832568720112,83.19069548412455,kidneybeans
39,145,201,8.825674745,72.77079118881835,7.3362875858477805,61.89977757528676,grapes
35,96,36,8.825674745,63.012743946676565,7.978710342387526,112.54599829258528,pigeonpeas
0,33,20,43.67549305,98.01923910936061,6.709689410038629,152.88619667562887,orange
46,43,6,29.911039947747998,79.2177640259528,7.352559469747874,87.4582732744493,cotton
98,40,58,31.039960730691202,75.78073189174688,4.330328979367224,100.27305731716996,banana
88,70,46,31.628173352158893,34.14098350640054,9.93509073,115.62827936187644,mothbeans
86,93,45,31.09062664353678,83.02967573135335,4.5745656960729955,74.50910180743921,banana
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,mango
16,131,95,19.083345452968256,14.471921979635546,8.828068090702665,54.75294620930795,chickpea
77,56,45,27.557660793816407,90.38155836217332,6.60440073168481,106.1129753534857,banana
68,91,24,24.804804011477405,76.89080672690226,9.024771123945573,144.87289087909124,rice
0,42,28,21.133662647565988,33.497842437922586,3.504752314,122.73985064232069,mothbeans
36,96,7,33.815297549260876,63.233591012158456,6.954852525266433,41.75479227824433,lentil
61,64,52,43.30204933,92.83405443,6.641098708,110.562229,papaya
0,5,17,11.441845832255165,38.03206676586393,4.0333793648250555,78.20408987853918,mango
67,39,58,22.576730430719753,92.0530138281853,7.465210976989864,20.21126747,muskmelon
14,24,38,34.57491128581316,94.98258787501209,6.071329756535423,258.8167468543851,coconut
90,73,46,25.44462348350854,91.24460585125891,4.762055570327605,201.1706668990326,jute
67,43,34,30.046265570432062,66.05670907294773,7.1748608869676325,83.05635775894585,watermelon
25,93,5,29.073902459779703,92.05335418659463,6.262075424681472,77.60237963449035,mungbean
140,89,47,26.994259628263578,84.81029914575342,5.026517450757835,150.98734886538824,banana
0,121,205,24.193579708730788,84.08567256821775,6.778243760662272,65.96276966594314,grapes
67,145,203,21.676813567592294,82.97148924543473,4.774061067114936,78.36239621643732,grapes
0,20,38,23.759974514840774,99.98187601,7.259948052207867,263.9630161472426,coconut
0,91,24,8.825674745,90.78278881157553,3.504752314,153.09224310996578,pigeonpeas
8,59,22,26.918019735716463,32.143310301371734,6.284120040661138,20.21126747,pigeonpeas
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
22,107,18,28.075321499818596,66.18508778542449,8.147403499350547,29.142284866142134,blackgram
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
16,46,33,43.67549305,91.3104324726561,6.2107994403069755,298.5601175,papaya
85,69,47,25.50724544820693,94.30938883419792,6.469215153805523,20.21126747,papaya
84,77,88,16.914492024240847,28.349204827206034,7.578191251368871,49.992779209346395,chickpea
115,26,30,18.65347890508416,81.9398937997149,5.364878781618435,175.314805762527,cotton
